Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE9A,1914.06,12.869674,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1914.09,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1914.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1915.03,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1915.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1915.09,13.924987,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1915.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1916.03,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1916.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1916.09,15.031779,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1916.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1917.03,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1917.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1917.09,16.498922,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1917.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1918.03,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1918.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1918.09,18.53233,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1918.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1919.03,19.626252,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1919.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1919.09,20.243997,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1919.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1920.03,21.955663,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1920.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1920.09,23.358458,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1920.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1921.03,23.873244,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1921.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1921.09,22.933758,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1921.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1922.03,21.234961,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1922.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1922.09,20.462781,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1922.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1923.03,20.218257,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1923.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1923.09,20.385563,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1923.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1924.03,20.861741,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1924.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1924.09,20.617217,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1924.12,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1925.03,20.539999,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1925.06,0,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1925.09,20.990437,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1925.12,21.054785,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.03,20.90035,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.06,20.990437,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.09,21.016177,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.12,20.926089,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.03,20.88748,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.06,20.810262,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.09,20.720175,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.12,20.733044,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.03,20.733044,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.06,20.861741,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.09,20.758783,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.12,20.861741,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.03,20.745914,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.06,20.707304,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.09,20.762972,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.12,20.762972,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.03,20.618066,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.06,20.493861,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.09,20.286852,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.12,19.934937,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.03,19.29321,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.06,18.899894,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.09,18.444475,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.12,18.382373,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.03,18.113261,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.06,17.368029,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.09,16.995414,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.12,16.684901,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.03,16.498593,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.06,16.477892,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.09,16.477892,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.12,16.560696,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.03,16.643499,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.06,16.809106,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.09,16.705602,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.12,16.767705,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.03,17.098918,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.06,17.285226,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.09,17.347329,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.12,17.699244,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.03,17.388731,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.06,17.719945,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.09,18.009757,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.12,18.278868,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
