1no,2no,3no,4no,5no,total
15,56,6545,664,210,7490
15,25,26,545,5456,6067
88,55,54,554,55656,56407
151,65646,8484,134584,664,209529
6546,66416,6464,651641,6465464,7196531
54464,64646,8484,132131,13213,272938
39403.26667,91578.73333,8753.4,427818.4667,3029115.2,3596669.067
47743.29524,108370.5619,9823.085714,506237.1238,3583116.543,4255290.61
56083.32381,125162.3905,10892.77143,584655.781,4137117.886,4913912.152
64423.35238,141954.219,11962.45714,663074.4381,4691119.229,5572533.695
72763.38095,158746.0476,13032.14286,741493.0952,5245120.571,6231155.238
81103.40952,175537.8762,14101.82857,819911.7524,5799121.914,6889776.781
89443.4381,192329.7048,15171.51429,898330.4095,6353123.257,7548398.324
97783.46667,209121.5333,16241.2,976749.0667,6907124.6,8207019.867
106123.4952,225913.3619,17310.88571,1055167.724,7461125.943,8865641.41
114463.5238,242705.1905,18380.57143,1133586.381,8015127.286,9524262.952
122803.5524,259497.019,19450.25714,1212005.038,8569128.629,10182884.5
131143.581,276288.8476,20519.94286,1290423.695,9123129.971,10841506.04
139483.6095,293080.6762,21589.62857,1368842.352,9677131.314,11500127.58
147823.6381,309872.5048,22659.31429,1447261.01,10231132.66,12158749.12
156163.6667,326664.3333,23729,1525679.667,10785134,12817370.67
164503.6952,343456.1619,24798.68571,1604098.324,11339135.34,13475992.21
172843.7238,360247.9905,25868.37143,1682516.981,11893136.69,14134613.75
181183.7524,377039.819,26938.05714,1760935.638,12447138.03,14793235.3
189523.781,393831.6476,28007.74286,1839354.295,13001139.37,15451856.84
197863.8095,410623.4762,29077.42857,1917772.952,13555140.71,16110478.38
206203.8381,427415.3048,30147.11429,1996191.61,14109142.06,16769099.92
214543.8667,444207.1333,31216.8,2074610.267,14663143.4,17427721.47
222883.8952,460998.9619,32286.48571,2153028.924,15217144.74,18086343.01
231223.9238,477790.7905,33356.17143,2231447.581,15771146.09,18744964.55
239563.9524,494582.619,34425.85714,2309866.238,16325147.43,19403586.1
247903.981,511374.4476,35495.54286,2388284.895,16879148.77,20062207.64
256244.0095,528166.2762,36565.22857,2466703.552,17433150.11,20720829.18
264584.0381,544958.1048,37634.91429,2545122.21,17987151.46,21379450.72
272924.0667,561749.9333,38704.6,2623540.867,18541152.8,22038072.27
281264.0952,578541.7619,39774.28571,2701959.524,19095154.14,22696693.81
289604.1238,595333.5905,40843.97143,2780378.181,19649155.49,23355315.35
297944.1524,612125.419,41913.65714,2858796.838,20203156.83,24013936.9
306284.181,628917.2476,42983.34286,2937215.495,20757158.17,24672558.44
314624.2095,645709.0762,44053.02857,3015634.152,21311159.51,25331179.98
322964.2381,662500.9048,45122.71429,3094052.81,21865160.86,25989801.52
331304.2667,679292.7333,46192.4,3172471.467,22419162.2,26648423.07
339644.2952,696084.5619,47262.08571,3250890.124,22973163.54,27307044.61
347984.3238,712876.3905,48331.77143,3329308.781,23527164.89,27965666.15
356324.3524,729668.219,49401.45714,3407727.438,24081166.23,28624287.7
364664.381,746460.0476,50471.14286,3486146.095,24635167.57,29282909.24
373004.4095,763251.8762,51540.82857,3564564.752,25189168.91,29941530.78
