no.,valuse
1,25464
2,225544
3,243315
4,259381
5,262596
6,267100
7,273639
8,285309
9,296896
10,311332
11,331983
12,135478
13,143787
14,141630
15,145450
16,138599
17,137405
18,144660
19,154157
20,170682
21,158806
22,361022
23,387102
24,401011
25,408046
26,405699
27,411044
28,429969
29,451053
30,482014
31,490789
32,19922
33,22117
34,17916
35,18722
36,22139
37,21562
38,23240
39,25056
40,26237
41,26962
42,-14407
43,-16171
44,-17160
45,-17061
46,-17261
47,-17652
48,-18319
49,-18895
50,-20385
51,-21608
52,1434
53,64
54,-1156
55,454
56,754
57,777
58,1814
59,1380
60,617
61,1443
62,6949
63,6010
64,-400
65,2115
66,5632
67,4687
68,6735
69,7541
70,6469
71,6797
72,-379
73,-69
74,-298
75,-224
76,-152
77,-472
78,-339
79,-111
80,-259
81,-324
82,-8
83,-1145
84,-34
85,-81
86,-75
87,2
88,-76
89,234
90,-340
91,-67
92,-387
93,-1214
94,-332
95,-305
96,-227
97,-470
98,-415
99,123
100,-599
101,-391
102,-1451
103,-1847
104,4232
105,957
106,359
107,1802
108,5487
109,6773
110,7118
111,4715
112,-267
113,-196
114,-178
115,-142
116,-145
117,-189
118,-260
119,-276
120,-322
121,-381
122,-630
123,-543
124,-359
125,4198
126,81
127,-160
128,-174
129,-286
130,-385
131,281
132,-8924
133,-7375
134,4431
135,3202
136,-5123
137,-2753
138,-1305
139,-1448
140,534
141,-1787
142,243315
143,259381
144,262596
145,267100
146,273639
147,285309
148,296896
149,311332
150,331983
151,351562
152,143787
153,141630
154,145450
155,138599
156,137405
157,144660
158,154157
159,170682
160,158806
161,183144
162,387102
163,401011
164,408046
165,405699
166,411044
167,429969
168,451053
169,482014
170,490789
171,534706
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,22898
183,26481
184,29518
185,28520
186,28706
187,31102
188,28739
189,33156
190,36033
191,39880
192,1867
193,1908
194,2622
195,3685
196,2955
197,2264
198,5269
199,1376
200,2987
201,5703
202,68414
203,74507
204,71443
205,87464
206,85078
207,89798
208,93187
209,92933
210,98237
211,114767
212,75762
213,75937
214,71705
215,84510
216,69630
217,71303
218,70696
219,75767
220,74247
221,81484
222,1030
223,640
224,610
225,1614
226,14019
227,11602
228,7303
229,7416
230,5216
231,4012
232,1762
233,2870
234,6963
235,4400
236,1673
237,1102
238,2226
239,2396
240,3345
241,2747
242,38400
243,45385
244,47077
245,44910
246,50322
247,52099
248,58340
249,61319
250,64107
251,51753
252,210133
253,227728
254,229938
255,255103
256,252383
257,259270
258,265760
259,274363
260,284172
261,300346
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,9957
283,10876
284,13445
285,15231
286,14128
287,21698
288,21240
289,18325
290,S
291,21764
292,215420
293,216222
294,239783
295,222591
296,240710
297,260023
298,251056
299,277379
300,279294
301,328288
302,321739
303,348174
304,309489
305,366528
306,339759
307,318696
308,356057
309,383024
310,407972
311,412932
312,19
313,0
314,122
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,2876
323,3923
324,8624
325,5625
326,5298
327,4434
328,3461
329,2748
330,1791
331,2792
332,32922
333,40894
334,52098
335,49094
336,54738
337,60970
338,62609
339,50209
340,51555
341,35983
342,582933
343,620089
344,623561
345,659069
346,654633
347,665821
348,694423
349,731685
350,774575
351,801759
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,3570
363,2840
364,-1132
365,163
366,2698
367,-2633
368,4460
369,3044
370,3883
371,-1095
372,52
373,334
374,1280
375,-840
376,-763
377,2629
378,-2714
379,1450
380,1936
381,-2784
382,5753
383,-4034
384,16338
385,-2072
386,4414
387,3821
388,32
389,5162
390,16711
391,14049
392,-1563
393,-10420
394,9554
395,-14054
396,2092
397,-3215
398,3546
399,-6389
400,4411
401,-1350
402,-390
403,-30
404,1004
405,12405
406,-2417
407,-4299
408,116
409,-2203
410,-1202
411,31
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,6371
423,1232
424,-2348
425,5937
426,1464
427,5467
428,3074
429,2678
430,-12393
431,9630
432,13793
433,-10078
434,24696
435,1539
436,7488
437,1770
438,8514
439,3742
440,13346
441,18481
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,993
463,985
464,2150
465,-1702
466,7321
467,-507
468,-1756
469,16774
470,-15461
471,13572
472,-341
473,22232
474,-16777
475,17691
476,19214
477,-9761
478,25265
479,4668
480,48694
481,1264
482,27377
483,-34583
484,43530
485,-18221
486,-18131
487,16465
